Cloudiness,Weather_type,latitude,longitude,City_id,Visibility,CountryID,Country,Sunrise_Time,Sunset_Time,Temperature,humidity,pressure,Min_temp,Max_temp,Wind_Speeed,Wind_Dire,Data_cal_Time,cod
5,Clear,29.21,-81.02,420008202,16093,698,US,22-03-2018 16:54,23-03-2018 05:07,290.91,36,1022,289.15,292.15,5.7,50,23-03-2018 00:17,200
1,Clear,30.29,-81.63,420004622,16093,654,US,22-03-2018 16:56,23-03-2018 05:09,288.64,29,1021,288.15,289.15,3.6,290,23-03-2018 00:05,200
1,Clear,30.44,-84.28,420007856,16093,716,US,22-03-2018 17:07,23-03-2018 05:20,289.9,25,1025,289.15,290.15,4.6,330,23-03-2018 00:05,200
40,Clouds,31.75,-106.4,420000241,16093,2604,US,22-03-2018 18:35,23-03-2018 06:49,298.35,14,1022,297.15,300.15,3.1,250,23-03-2018 00:21,200
20,Clouds,40.73,-73.99,420028607,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027356,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027356,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420026049,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027358,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.77,-74.02,420027421,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.47,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420028612,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.79,-74,420027057,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.59,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.73,-73.99,420027061,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.5,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.79,-74,420027064,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.59,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.79,-74,420027068,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.59,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.79,-74,420027071,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.59,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.79,-74,420027076,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.59,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
20,Clouds,40.77,-74.02,420027090,16093,1972,US,22-03-2018 16:24,23-03-2018 04:41,280.47,34,1010,279.15,282.15,5.7,350,23-03-2018 00:15,200
1,Clear,30.39,-86.5,420007069,16093,664,US,22-03-2018 17:16,23-03-2018 05:29,290.89,27,1026,290.15,291.15,8.2,330,22-03-2018 23:47,200
1,Clear,29.61,-82.41,420007464,16093,646,US,22-03-2018 17:00,23-03-2018 05:12,290.46,20,1023,290.15,291.15,3.6,320,23-03-2018 00:05,200
40,Clouds,31.33,-105.96,420000323,16093,2604,US,22-03-2018 18:33,23-03-2018 06:47,298.85,14,1022,298.15,300.15,3.1,250,23-03-2018 00:21,200
5,Clear,28.41,-80.76,420008485,11265,729,US,22-03-2018 16:53,23-03-2018 05:05,291.52,14,1022,290.15,293.15,6.2,320,22-03-2018 23:26,200
1,Smoke,26.06,-80.13,420008571,16093,656,US,22-03-2018 16:51,23-03-2018 05:03,294.59,26,1022,294.15,295.15,6.2,340,22-03-2018 23:29,200
1,Smoke,25.87,-80.3,420008005,16093,663,US,22-03-2018 16:52,23-03-2018 05:03,294.7,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,26,-80.12,420008579,16093,663,US,22-03-2018 16:51,23-03-2018 05:03,294.7,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Clear,25.14,-80.93,420006997,16093,663,US,22-03-2018 16:54,23-03-2018 05:06,295.15,28,1021,295.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,26.24,-80.12,420008863,16093,713,US,22-03-2018 16:51,23-03-2018 05:03,294.53,22,1022,294.15,295.15,6.2,320,22-03-2018 23:29,200
1,Smoke,26.24,-80.1,420008866,16093,713,US,22-03-2018 16:51,23-03-2018 05:03,294.53,22,1022,294.15,295.15,6.2,320,22-03-2018 23:29,200
1,Smoke,25.81,-80.19,420008045,16093,663,US,22-03-2018 16:51,23-03-2018 05:03,294.7,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,25.75,-80.22,420008270,16093,663,US,22-03-2018 16:51,23-03-2018 05:03,294.77,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,25.81,-80.19,420008286,16093,663,US,22-03-2018 16:51,23-03-2018 05:03,294.7,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,25.77,-80.19,420008290,16093,663,US,22-03-2018 16:51,23-03-2018 05:03,294.7,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,25.85,-80.15,420008298,16093,663,US,22-03-2018 16:51,23-03-2018 05:03,294.7,28,1021,294.15,295.15,6.2,330,23-03-2018 00:05,200
1,Smoke,26.31,-80.14,420009934,16093,640,US,22-03-2018 16:51,23-03-2018 05:03,294.53,19,1022,294.15,295.15,7.2,330,22-03-2018 23:29,200
1,Clear,26.92,-80.13,420008594,16093,734,US,22-03-2018 16:51,23-03-2018 05:03,293.13,16,1022,292.15,294.15,4.6,320,22-03-2018 23:29,200
1,Clear,26.73,-80.07,420008658,16093,734,US,22-03-2018 16:51,23-03-2018 05:02,294.15,16,1022,294.15,294.15,4.6,320,22-03-2018 23:29,200
1,Clear,27.95,-82.3,420006917,16093,728,US,22-03-2018 16:59,23-03-2018 05:12,291.32,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
1,Clear,28.15,-82.46,420004892,16093,728,US,22-03-2018 17:00,23-03-2018 05:12,291.13,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
1,Clear,28.04,-82.13,420006932,16093,712,US,22-03-2018 16:59,23-03-2018 05:11,291.33,16,1023,289.15,293.15,5.7,310,23-03-2018 00:05,200
1,Clear,28.07,-82.47,420006949,16093,728,US,22-03-2018 17:00,23-03-2018 05:12,291.13,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
75,Clouds,27.86,-82.53,420004925,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.36,100,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
75,Clouds,28,-82.58,420004924,16093,726,US,22-03-2018 17:00,23-03-2018 05:13,291.36,92,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
75,Clouds,28.02,-82.5,420004923,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.36,36,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
1,Clear,28.07,-82.45,420004922,16093,728,US,22-03-2018 17:00,23-03-2018 05:12,291.34,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
1,Clear,28.07,-82.46,420004921,16093,728,US,22-03-2018 17:00,23-03-2018 05:12,291.34,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
75,Clouds,27.89,-82.52,420004920,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.36,100,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
1,Clear,28.01,-82.4,420004919,16093,728,US,22-03-2018 17:00,23-03-2018 05:12,291.32,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
75,Clouds,27.95,-82.49,420006945,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.36,36,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
75,Clouds,27.95,-82.46,420006943,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.36,36,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
1,Clear,28.03,-82.45,420004914,16093,728,US,22-03-2018 17:00,23-03-2018 05:12,291.34,24,1023,289.15,293.15,4.1,330,23-03-2018 00:05,200
75,Clouds,27.95,-82.46,420004913,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.36,36,1024,290.15,293.15,5.7,320,23-03-2018 00:05,200
75,Clouds,27.72,-82.43,420004896,16093,726,US,22-03-2018 17:00,23-03-2018 05:12,291.51,36,1024,291.15,293.15,5.7,320,23-03-2018 00:05,200
