Cloudiness,Weather_type,latitude,longitude,City_id,Visibility,CountryID,Country,Sunrise_Time,Sunset_Time,Temperature,humidity,pressure,Min_temp,Max_temp,Wind_Speeed,Data_cal_Time,cod
20,Clouds,12.77,77.36,200054864,8000,7821,IN,24-03-2018 06:22,24-03-2018 18:31,301.87,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.98,77.53,200057070,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.94,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.98,77.59,200057748,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.94,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.69,77.31,200056931,8000,7821,IN,24-03-2018 06:22,24-03-2018 18:31,303.15,51,1016,303.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.12,77.57,200056866,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,302.01,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.69,77.31,200056962,8000,7821,IN,24-03-2018 06:22,24-03-2018 18:31,303.15,51,1016,303.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.98,77.59,200056298,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.94,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.97,77.53,200057065,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.93,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.05,77.64,200055877,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.98,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.02,77.56,200055671,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.96,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.06,77.13,200055632,8000,7821,IN,24-03-2018 06:23,24-03-2018 18:32,301.92,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.07,77.62,200054823,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.99,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.97,77.53,200055692,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.93,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.71,77.7,200054850,8000,7821,IN,24-03-2018 06:20,24-03-2018 18:30,301.88,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,13.02,77.56,200055611,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.96,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.77,77.36,200054864,8000,7821,IN,24-03-2018 06:22,24-03-2018 18:31,301.87,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
20,Clouds,12.97,77.53,200055707,8000,7821,IN,24-03-2018 06:21,24-03-2018 18:30,301.93,51,1016,301.15,303.15,3.1,24-03-2018 11:00,200
0,Smoke,19.26,72.86,200043829,6000,7770,IN,24-03-2018 06:39,24-03-2018 18:50,304.65,52,1012,304.15,305.15,7.2,24-03-2018 11:00,200
0,Smoke,19.12,72.89,200043320,4000,7761,IN,24-03-2018 06:39,24-03-2018 18:50,304.64,33,1013,304.15,305.15,2.1,24-03-2018 11:00,200
0,Smoke,19.05,72.93,200043374,4000,7761,IN,24-03-2018 06:39,24-03-2018 18:50,304.64,33,1013,304.15,305.15,2.1,24-03-2018 11:00,200
0,Smoke,18.88,72.94,200041172,4000,7761,IN,24-03-2018 06:39,24-03-2018 18:50,304.64,33,1013,304.15,305.15,2.1,24-03-2018 11:00,200
0,Smoke,19.12,72.89,200043320,4000,7761,IN,24-03-2018 06:39,24-03-2018 18:50,304.64,33,1013,304.15,305.15,2.1,24-03-2018 11:00,200
0,Smoke,19.1,72.89,200043311,4000,7761,IN,24-03-2018 06:39,24-03-2018 18:50,304.64,33,1013,304.15,305.15,2.1,24-03-2018 11:00,200
